,OSA,Healthy
HR-Air,0.001458955454944969,0.0005524006012329731
HR-Chest,0.0057972065536842695,0.0012664331438311924
HR-Abd,0.0006852312614069489,0.00038592470073491167
HR-Chin,-0.00015988120477329306,-0.00043001111127875097
HR-Leg,0.004847714350514963,0.0017024254996632587
HR-Eye1,-0.0007412296384791201,-0.0008280508435665662
HR-Eye2,-0.0003692971976716471,-0.0003977090405759279
HR-FLd,0.0011401085465567076,0.00027197446363989657
HR-FLt,0.0008633290483611543,0.0005397391622511819
HR-FLa,0.0017840430589264877,0.0006013576643246548
HR-FLs,-0.0007660681884148731,-0.0007508597331381526
HR-FLb,0.0027484003808339436,0.0011179433179646105
HR-C3d,0.001012269515651585,0.0005137266150423319
HR-C3t,-0.001168667286959886,-0.0029471684992450047
HR-C3a,-0.0017240564172600757,-0.0018100477191621421
HR-C3s,-0.002137935934548095,-0.004262659227994445
HR-C3b,0.0020832420103031437,0.0008681050935883067
HR-O1d,0.0032940779994492437,0.0011766518980817885
HR-O1t,0.00010090098685517623,0.00012103369704059765
HR-O1a,-0.0016482220795514372,-0.0027389678456119356
HR-O1s,-0.001832671659364135,-0.002724638396795902
HR-O1b,0.004026111924997293,0.001547509240208424
HR-FRd,0.000252328870982193,0.00013175098566646452
HR-FRt,0.0007900080198107168,0.0006016174625028573
HR-FRa,-0.0010558140010961878,-0.0015921736268698261
HR-FRs,-0.002204703317812547,-0.0028879692720996846
HR-FRb,0.001381849076982177,0.0006412175426884238
HR-C4d,0.0010844679148483715,0.0004988494428222008
HR-C4t,-0.00016312132342106446,-0.0001153806436653174
HR-C4a,-0.0016090416189397058,-0.0029797631929789382
HR-C4s,-0.0009631948017441272,-0.001639834708181154
HR-C4b,3.612377300008379e-05,2.160672299034974e-05
HR-O2d,0.0001940645274623163,4.4202889400896716e-05
HR-O2t,0.00141858478276094,0.0008359054818561438
HR-O2a,-0.001036768310993178,-0.0009419500513454884
HR-O2s,0.000622852321149759,0.0004343037660421231
HR-O2b,0.002370176309425385,0.0007647114301857371
Air-Chest,-0.004017553239377336,-0.007865972115782159
Air-Abd,-0.002786962637929759,-0.003118145897160754
Air-Chin,0.005539134141129234,0.001279929155350057
Air-Leg,0.0034701233456744156,0.0006126182315415363
Air-Eye1,0.0046518621059843095,0.0010420327166047066
Air-Eye2,0.005190748814933301,0.00141762948693524
Air-FLd,0.004723251337211638,0.0013728951723028797
Air-FLt,0.0016116930063881253,0.0008714163476193041
Air-FLa,0.0018393645460642112,0.0007489158859677975
Air-FLs,0.0011876954363981623,0.0005686859881671459
Air-FLb,0.0029330515061648226,0.0006894225606135859
Air-C3d,0.0025050209823545082,0.0011016709380268265
Air-C3t,8.288450722357919e-05,1.2535052582195431e-05
Air-C3a,0.0016429296911579672,0.00039278227117058885
Air-C3s,-0.0005066109980015607,-0.0007185885273711756
Air-C3b,-0.00030001447034098467,-0.00021123053363426053
Air-O1d,0.003454746665693584,0.001290348700727777
Air-O1t,0.0011443018219825876,0.0006008855627868179
Air-O1a,0.0022736839946609017,0.0008853749784559604
Air-O1s,0.0009251101297283668,0.00044662294329822423
Air-O1b,0.004205836056126325,0.0006582041810040487
Air-FRd,0.00627859973233265,0.0015108767944592887
Air-FRt,0.001977209396818675,0.000835855571862908
Air-FRa,0.0009934474125682037,0.0004931114482670595
Air-FRs,0.003990776213733664,0.001014926173654986
Air-FRb,0.003542820001281956,0.0008945420289739371
Air-C4d,0.005788938675554252,0.0016288493683309722
Air-C4t,0.0014427869101467303,0.00048197593235389005
Air-C4a,0.003135237395930462,0.0010279571640238617
Air-C4s,0.002224237228755291,0.0009729910597983489
Air-C4b,0.001012761124556646,0.0002682762839654974
Air-O2d,0.00447271616697969,0.0010872712307922808
Air-O2t,0.002208385236237451,0.0009019521981639276
Air-O2a,0.0016961855344940356,0.000580593128689964
Air-O2s,0.003459189945419233,0.0008392201680579844
Air-O2b,9.921502289046329e-05,-0.00017850159380994419
Chest-Abd,-0.0026418097665813958,-0.004493409762279253
Chest-Chin,0.004856095226867932,0.0013241193089582985
Chest-Leg,-3.790427787644952e-05,-2.539946413265867e-05
Chest-Eye1,0.002287832533761718,0.0005865678871179042
Chest-Eye2,0.002180879097104296,0.0009580712722197678
Chest-FLd,0.0008622300630952553,0.00041777469010321415
Chest-FLt,4.927275681785746e-05,3.361205211019036e-05
Chest-FLa,-0.00010473009733660832,-2.4846225131506084e-05
Chest-FLs,-0.00016744961113529343,-0.0002657520401294124
Chest-FLb,0.0023189154361410074,0.0009966090017466747
