,OSA,Healthy
HR-Air,0.0041827554432583,0.020506389654751107
HR-Chest,0.0032980549510694263,0.014261828862722356
HR-Abd,0.004525007809875142,0.017046589241810996
HR-Chin,0.0013939979400630694,0.005089355272456466
HR-Leg,0.0019068509106654383,0.006917129533339031
HR-Eye1,-0.0018446875811452576,-0.001664332864992657
HR-Eye2,-0.002990736549254756,-0.0030169245580625574
HR-FLd,-0.0014737439512881156,-0.0010089621336200876
HR-FLt,-0.002338708869088667,-0.0029969077733490255
HR-FLa,-0.0010183260252251067,-0.0009690510948078806
HR-FLs,-0.0008358300571571582,-0.0006222334603481584
HR-FLb,0.0013724599533518598,0.004260184697478379
HR-C3d,-0.0008857486176257883,-0.000884105076073541
HR-C3t,-0.0011840223870728309,-0.0012400825641771963
HR-C3a,-0.000840651765788364,8.728608034737489e-05
HR-C3s,0.0003239344114999776,0.0007990971741430435
HR-C3b,-0.0003716673017059378,-5.187756492828696e-07
HR-O1d,0.0008176566615478852,0.002255509297840446
HR-O1t,0.00021762257017718622,0.00013330147301397456
HR-O1a,0.0014119172454853256,0.00334798074020957
HR-O1s,0.00011816146914312327,0.0005861314613507508
HR-O1b,0.002319314369597981,0.00681188056610961
HR-FRd,-0.0029346523451747293,-0.0027756047725440163
HR-FRt,-0.0027666906675980285,-0.0028944529987714896
HR-FRa,0.0009390778910967299,0.002391600771227706
HR-FRs,-0.002327883238586302,-0.0018915616432529838
HR-FRb,5.502625496286305e-05,0.0009716273534707269
HR-C4d,-0.0010910603402423166,-0.0009080030044345243
HR-C4t,0.00020673492114579376,0.000438324709196469
HR-C4a,-0.00047565982848633983,-0.00010903024034967295
HR-C4s,0.0011074193448101562,0.002154601883851663
HR-C4b,0.0014406958020023362,0.0025588673646707956
HR-O2d,0.0016044533459506215,0.0035264680048820315
HR-O2t,-0.0007928303079486613,-0.0012972267167357739
HR-O2a,0.0016782954738816427,0.004321795108217058
HR-O2s,0.0007533676216045442,0.0017056163362919458
HR-O2b,0.00300170888436495,0.008235154839332758
Air-Chest,-0.005203633279275829,-0.0026848878453328605
Air-Abd,-0.0012802851037061586,-0.001748488821714668
Air-Chin,0.0046839853377870656,0.029530663754099552
Air-Leg,0.0028626271424528416,0.021193952928546568
Air-Eye1,0.004363587840243863,0.023575688610292495
Air-Eye2,0.004304979365955941,0.02023934644534318
Air-FLd,0.0041230054979835284,0.02654039259582368
Air-FLt,0.0036418000318090907,0.018687230938273593
Air-FLa,0.004236366136328199,0.023665509016335178
Air-FLs,0.0037222139417163284,0.01790642019469162
Air-FLb,0.004529752225168852,0.024276860218537845
Air-C3d,0.004229140892698735,0.02663151710421046
Air-C3t,0.0033215560484670037,0.013196267967252127
Air-C3a,0.0038971424902726785,0.02009782718559225
Air-C3s,0.0029487603799039225,0.013574338078120122
Air-C3b,0.00394279318827314,0.018950511108971984
Air-O1d,0.003780313521084233,0.0255146848079404
Air-O1t,0.002461672494065296,0.00950763273707222
Air-O1a,0.002721616096976606,0.011461569753758626
Air-O1s,0.002162443070045833,0.012379828239234529
Air-O1b,0.002738926888049493,0.014866145375656508
Air-FRd,0.0045698774025248155,0.02925932976322585
Air-FRt,0.0035500873053051253,0.019495582960033835
Air-FRa,0.004207870127168096,0.02305292937451644
Air-FRs,0.0030027248534416195,0.014716105223426599
Air-FRb,0.0038851820957352978,0.01949839509596226
Air-C4d,0.003894408184803133,0.023066286828814692
Air-C4t,0.003032195813837996,0.012973909370637618
Air-C4a,0.004001046644301856,0.020674851480199197
Air-C4s,0.002839803564259125,0.01342196438101815
