,OSA,Healthy
HR-Air,-0.00019734787088275914,-0.0003934059772940916
HR-Chest,0.003757497055788008,0.0011194545604293975
HR-Abd,0.0017900464609938466,0.0005456362054420687
HR-Chin,0.0011462968623809603,-0.0002815022443258636
HR-Leg,0.007910353084801123,0.0019065082238431737
HR-Eye1,-0.000765325952877198,-0.0008191498447758891
HR-Eye2,0.00017351826066955224,-6.916664297542672e-05
HR-FLd,-0.0008388332855100107,-0.0009993039594351795
HR-FLt,0.0001650827446067428,-1.4571056614435731e-05
HR-FLa,-0.000981367185249469,-0.0011770927502271111
HR-FLs,-0.0030225456080923635,-0.002793079705779006
HR-FLb,-0.0032623251389088475,-0.0024506235333904038
HR-C3d,0.0038637570255621242,0.001056218003599029
HR-C3t,0.00011561300055434741,-0.0003911355997745031
HR-C3a,-0.003959703620009454,-0.003573774504048026
HR-C3s,-0.0023013687119067196,-0.002097222298610106
HR-C3b,-0.0022785683753868452,-0.001856521616065775
HR-O1d,0.0031520905969698526,0.0005783154921013099
HR-O1t,0.00046746925334541613,-1.7234056771061733e-06
HR-O1a,0.00029265451289068494,-0.0004854922750370049
HR-O1s,0.0001961130680248197,-0.0004088026888775607
HR-O1b,-0.001092668842986058,-0.0017182434647600498
HR-FRd,-0.0032626502775089375,-0.0032718511349875976
HR-FRt,-0.0015235567862197893,-0.0014642613853839983
HR-FRa,-0.0014711276089900338,-0.0015424144174272841
HR-FRs,-0.003820616677844031,-0.0037589694133244866
HR-FRb,-0.004009738493184959,-0.003298000931801956
HR-C4d,0.0005806630016563987,-6.752066831434767e-05
HR-C4t,-0.0007977669794075468,-0.000844172216803008
HR-C4a,-0.0012863240814854546,-0.0014038528857821852
HR-C4s,-0.0032433152153520718,-0.0027595381406765726
HR-C4b,-0.003786082173676473,-0.0038679471171280495
HR-O2d,0.003371869658937767,0.0006475295951550707
HR-O2t,0.0019335786500659132,0.0005058687909614592
HR-O2a,-0.00024368692617665055,-0.0010924131041509545
HR-O2s,-0.00044575179248715406,-0.0013326528971485236
HR-O2b,8.248174921934161e-05,-0.00112302946584988
Air-Chest,-0.0018597132290652976,-0.0017455931099076033
Air-Abd,-0.004394831612321645,-0.007005892347050906
Air-Chin,0.017094732185261637,0.002658924882676949
Air-Leg,0.009689097398483237,0.001977031072304308
Air-Eye1,-0.0016167485516319024,-0.002321730399295325
Air-Eye2,0.0004573118834114482,-7.854211310793012e-05
Air-FLd,9.104420523746665e-05,-0.00030265372740102445
Air-FLt,0.0036509907102446693,0.002263110536818009
Air-FLa,0.009850103645382054,0.002931226699299866
Air-FLs,0.007147238402974343,0.0018343988836289134
Air-FLb,0.008142405681026579,0.001973250888438747
Air-C3d,0.004236272255996756,0.0014916013523847867
Air-C3t,0.0015865326686736714,0.000814038005924577
Air-C3a,0.007571548007998349,0.001645826795667769
Air-C3s,0.009507703870291633,0.0017188532169206325
Air-C3b,0.00899479744925046,0.0019275402865701527
Air-O1d,0.009066427318736548,0.0021558880348088996
Air-O1t,0.006383771558421217,0.0018238260742483615
Air-O1a,0.0029881636958456106,0.0006815915649778524
Air-O1s,0.0076109791759811085,0.0016091016782418337
Air-O1b,0.009629079382249606,0.001681022743840424
Air-FRd,0.0010152836198839606,0.0007718723544586543
Air-FRt,0.0009465704581451299,0.0006181243787001753
Air-FRa,0.004919669229924062,0.001796408713174103
Air-FRs,0.004294704951512125,0.0012450680708537588
Air-FRb,0.006068742222238627,0.0015826304303734567
Air-C4d,0.005916627380133822,0.0021264742432784995
Air-C4t,0.005009195912677092,0.001771291128687754
Air-C4a,0.007455210877982668,0.0015509539488393104
Air-C4s,0.006159161622131892,0.0014540113485206146
Air-C4b,0.009900316721507029,0.0021169603188301743
Air-O2d,0.011413039577492127,0.002501099086650727
Air-O2t,0.006386859547043161,0.0015914812828144796
Air-O2a,0.007617431880774556,0.0016900018466615308
Air-O2s,0.007284918064909769,0.0014104047539994114
Air-O2b,0.012233256497125151,0.00226054513318342
Chest-Abd,0.0014807007702874607,-0.00022477272782597083
Chest-Chin,0.008104372791126944,0.0020882054815016212
Chest-Leg,0.000961003733743503,0.00028085219302794356
Chest-Eye1,-0.0002758946030572417,-0.0006258199899415136
Chest-Eye2,-0.00034528344101477883,-0.0005787523292077506
Chest-FLd,-0.0012616632466927176,-0.0017385017050821436
Chest-FLt,0.0031824080540538515,0.0017936589483082143
Chest-FLa,0.0036011841979756917,0.001609706446010729
Chest-FLs,0.004022478634355922,0.0014316802190072087
Chest-FLb,0.002506034800622982,0.0008365420714593246
Chest-C3d,0.004053647159956629,0.0018208613101809857
Chest-C3t,0.0035571185285056665,0.0017291378679394273
Chest-C3a,0.0029716203880823544,0.0011021002103773058
Chest-C3s,0.0038443513345047253,0.0011744783987898521
Chest-C3b,0.0034451336368273395,0.0009833910457052706
Chest-O1d,0.006423968647257845,0.0019363345107217278
Chest-O1t,0.003141175978140108,0.0013287662167844945
Chest-O1a,0.0011964031257066612,0.0003804847250379877
Chest-O1s,0.003895293634819433,0.00128593496909902
Chest-O1b,0.003583015936761834,0.0011295912389222818
Chest-FRd,-0.0009152248220652079,-0.0012545038673560077
Chest-FRt,0.0015071340017700388,0.000949127215605248
Chest-FRa,0.002523457974993642,0.0011327045437578395
Chest-FRs,0.0013087788800146085,0.0003804266055963119
Chest-FRb,0.0032781006623774367,0.001053608672655522
Chest-C4d,0.0012603771607934255,0.0005431583753229623
Chest-C4t,0.0007050097230476034,0.00024708453925342344
Chest-C4a,0.0011180382302012318,0.00027698165051032907
Chest-C4s,0.00505400577774945,0.0013328973124733896
Chest-C4b,0.0052157770128359125,0.0015253688252303437
Chest-O2d,0.007166015290668831,0.002224414212982017
Chest-O2t,0.0028780631576268553,0.0011283216464461842
Chest-O2a,0.004393022379381993,0.001264504417520808
Chest-O2s,0.0008217352622162512,0.00016354146774895435
Chest-O2b,0.006868827512212282,0.0016553400663250708
Abd-Chin,0.010619219377392306,0.0023372082072064615
Abd-Leg,0.0055238384590191566,0.002018491349904444
Abd-Eye1,0.00044670306309554914,0.00036298758155539016
Abd-Eye2,-0.0010599298950245244,-0.0014619324129376715
Abd-FLd,-0.002264508892869674,-0.00290310131805899
Abd-FLt,0.0016283420015786143,0.001121987694766498
Abd-FLa,0.005501294004722451,0.002308341691668109
Abd-FLs,0.0040596071470428655,0.001241774396573381
Abd-FLb,0.0039049633739390507,0.0013012178866662837
Abd-C3d,0.0030505322902148807,0.001445606067261242
Abd-C3t,0.0003129768410881261,4.670328161454692e-05
Abd-C3a,0.004743661498250149,0.0013856046083761445
Abd-C3s,0.003992147259146856,0.000870041359677121
Abd-C3b,0.005663754882370302,0.0014250494851320644
Abd-O1d,0.005780682438003833,0.001890967182090283
Abd-O1t,0.0024536526508138136,0.0008647385050175805
Abd-O1a,0.0004886971139266555,6.208854790109809e-05
Abd-O1s,0.0023260857865722595,0.0006667400290431029
Abd-O1b,0.009629442853972842,0.002087275538758925
Abd-FRd,0.0010597605658835296,0.0006768712755807059
Abd-FRt,0.002105554699880107,0.0014989860007491255
Abd-FRa,0.0031707158503593903,0.0011955428273754955
Abd-FRs,0.0016409862523039664,0.0006092801698579072
Abd-FRb,0.003954525010074211,0.0011538709306812855
Abd-C4d,0.004785072242858972,0.001858333997262638
Abd-C4t,0.001881405091130544,0.0010262235637813432
Abd-C4a,0.0014728151178628082,0.000548246804863309
Abd-C4s,0.006696665644020034,0.0015237828426816066
Abd-C4b,0.006708178647453472,0.001679983651723361
Abd-O2d,0.004673494514512745,0.0013057884056201746
Abd-O2t,0.003138102515279213,0.001011926494831974
Abd-O2a,0.002335026128406559,0.0005651924943773212
Abd-O2s,0.002066071770116392,0.0005201651255524693
Abd-O2b,0.006340371454641743,0.0015866337049934315
Chin-Leg,0.007634449827377364,0.0019992958146644478
Chin-Eye1,-0.005025444237961275,-0.006773359123632129
Chin-Eye2,-0.0050470400463744,-0.006122113567363864
Chin-FLd,-0.0019232224989538384,-0.0019996119370299394
Chin-FLt,0.00019709460990492152,-0.0005723926358981209
Chin-FLa,0.010440855412048096,0.0036692828576520967
Chin-FLs,0.01164109738529535,0.003897952569146966
Chin-FLb,0.006977174736434883,0.0020986917648271966
Chin-C3d,0.00195530224547412,0.0002050080032285786
Chin-C3t,0.00463114333209889,0.0015652092311989438
Chin-C3a,0.007676880337625902,0.0025841516421345697
Chin-C3s,0.010306359657216877,0.0029939843031987915
Chin-C3b,0.016057094781178238,0.00425778428306957
Chin-O1d,0.0026723150840291905,0.0003344497896415121
Chin-O1t,0.005732008419808701,0.001843670751659159
Chin-O1a,0.009049084020014994,0.002884241392482411
Chin-O1s,0.001491257947090751,0.0004783511428548383
Chin-O1b,0.003775756000022389,0.0008572833370503709
Chin-FRd,-0.0013246742944858724,-0.0009110707465088541
Chin-FRt,0.0004446623518754089,-0.00010950731503182457
Chin-FRa,0.00538497073358206,0.0019481474558689898
Chin-FRs,0.0004868477765427731,-0.00010344612216542269
Chin-FRb,0.0008740711348477964,-0.00025571815797135653
Chin-C4d,0.004021122175804043,0.0009000388471308203
Chin-C4t,0.005259733047181655,0.0017468851026969123
Chin-C4a,0.007281060162188023,0.0025899867083168755
Chin-C4s,0.012908702739046915,0.0034891303081554955
Chin-C4b,0.011424869585756123,0.003239165092131506
Chin-O2d,0.005439125465593736,0.0014224077296099713
Chin-O2t,0.011914859071152445,0.0029754386034170893
Chin-O2a,0.012131555538025399,0.0035291609000437257
Chin-O2s,0.005340062243293879,0.0014948657594874729
Chin-O2b,0.009796434852493568,0.0024077903528236925
Leg-Eye1,-0.0028195681304602495,-0.0051402090059931285
Leg-Eye2,-0.00042306427693649,-0.0005603692769574665
Leg-FLd,-0.0005253931566754482,-0.0004891041543161037
Leg-FLt,0.0026257867880147877,0.0013661680334722463
Leg-FLa,0.002656201196874185,0.0008935076422384826
Leg-FLs,0.007195665937001883,0.0023238016748171834
Leg-FLb,0.008026359288909305,0.002355392081528668
Leg-C3d,0.001197803913977088,1.4796095874569387e-05
Leg-C3t,0.008089617773415334,0.002704917016793133
Leg-C3a,0.007100322290243095,0.0021821431844042095
Leg-C3s,0.008899060960005511,0.0022910986009389354
Leg-C3b,0.009112345099853269,0.00260019184255623
Leg-O1d,0.004976930061003457,0.0015815847888923928
Leg-O1t,0.004148342701230699,0.0015631511411033042
Leg-O1a,0.00841538313551661,0.0024018298122251156
Leg-O1s,0.006595978077287262,0.0018391016344197937
Leg-O1b,0.012512685862990109,0.0029426232055896773
