,OSA,Healthy
HR-Air,-0.0017729136560917288,-0.00154366304638347
HR-Chest,-0.002482765638626929,-0.0018168591438570663
HR-Abd,-0.0023130997145006846,-0.0016888536369422003
HR-Chin,-0.008492875325539547,-0.005256980654678197
HR-Leg,0.0030197032061611926,0.006417282842050456
HR-Eye1,-0.00833723288711016,-0.005125576609525532
HR-Eye2,-0.0038269852448139506,-0.0030216724655574238
HR-FLd,-0.0022066696201163247,-0.0019723898028072987
HR-FLt,-0.006250554562902156,-0.0045920221747082265
HR-FLa,-0.002504151723668755,-0.0022094523584334823
HR-FLs,-0.0008050716186898514,-0.000340220234389492
HR-FLb,-0.006012962768036185,-0.004696867517499958
HR-C3d,-0.002202102054142814,-0.0016197406363007677
HR-C3t,-0.003593935449923643,-0.002901200829049288
HR-C3a,-0.0025907175750773635,-0.0026033406239784605
HR-C3s,-0.0028849933555920152,-0.0023022297410912446
HR-C3b,-0.0035032679073997474,-0.002262288908353034
HR-O1d,-0.004217986850496261,-0.0032978233829863133
HR-O1t,-0.005608901358303306,-0.004074834528949649
HR-O1a,-0.0036378288161418534,-0.002755234945806572
HR-O1s,-0.00373152668288432,-0.0028825336010728387
HR-O1b,-0.004617874662644203,-0.002824866965923001
HR-FRd,-0.004810808243060868,-0.0036651430810991036
HR-FRt,-0.005915789341097621,-0.004424715616092407
HR-FRa,-0.0048125862062285574,-0.0041987778122778655
HR-FRs,-0.0028145833320761147,-0.0019795233086194177
HR-FRb,-0.004527012461374892,-0.0031284398606135273
HR-C4d,-0.0019056820801023658,-0.0011783974346025363
HR-C4t,-0.003170446679475327,-0.002697702006495346
HR-C4a,-0.002112769455576105,-0.0019537429896750295
HR-C4s,-0.0031600934483564714,-0.00258732658813455
HR-C4b,-0.0037882554771907786,-0.002039097164118619
HR-O2d,-0.003800803279873144,-0.0030603319701762934
HR-O2t,-0.0049236176054561365,-0.003609812642235711
HR-O2a,-0.0025377465215085148,-0.002007695488900627
HR-O2s,-0.004162576447967719,-0.0031079022256468845
HR-O2b,-0.003690187991923606,-0.002667189127237031
Air-Chest,0.0037618435002902684,0.006143006964407028
Air-Abd,0.005873863027003757,0.0078079665343477826
Air-Chin,0.0008565619305801207,0.0017200860656720984
Air-Leg,0.0017374108193977979,0.003587117273302509
Air-Eye1,-0.0015676367326031726,-0.0013734997096102497
Air-Eye2,-7.93106591546757e-05,4.051646561843167e-05
Air-FLd,-0.000508804134003963,-0.0003424701176621179
Air-FLt,-0.00010047527288767257,-0.00011718855498872184
Air-FLa,0.0013990654479717549,0.003235593475018701
Air-FLs,0.0014186896393726697,0.003190087342124144
Air-FLb,0.0017151869631355774,0.0034824573490990856
Air-C3d,0.0007812098860803248,0.0014335180043402132
Air-C3t,-0.00023608585898836788,-0.00020509883244773094
Air-C3a,0.0016955931012847068,0.004007381927044752
Air-C3s,0.00034275284246332473,0.001172326162214799
Air-C3b,0.002842332074545862,0.005567260146841819
Air-O1d,0.0008916459113613226,0.001765966164040554
Air-O1t,-0.0002950549126600469,-0.00020698782141261984
Air-O1a,0.0008983075492213152,0.0018865911066748501
Air-O1s,0.0012921449134310904,0.002441752716354323
Air-O1b,0.0013283692861843382,0.002517630337272419
Air-FRd,0.0009604298226900305,0.0015712648049087698
Air-FRt,0.0012361345792943081,0.002056101247569232
Air-FRa,0.0016235452644271203,0.003676560289276923
Air-FRs,0.0021811714831704103,0.004423397940179978
Air-FRb,-0.00011046370805059351,0.0002764584822496539
Air-C4d,0.002368424247498845,0.003912577473622415
Air-C4t,0.00041624344909289786,0.0008354894415691927
Air-C4a,0.0020975180427647124,0.0055383079599094515
Air-C4s,0.0017851317127421996,0.003597853603194091
Air-C4b,0.0022195461284986472,0.004001993290126157
Air-O2d,0.0009294857656766177,0.001559106177956543
Air-O2t,-0.0007266255201150323,-0.0005494823487590827
Air-O2a,0.0010488143830086872,0.002566873685888218
Air-O2s,0.0007244369401720253,0.0015849872114178324
Air-O2b,0.0010853008835043317,0.0020773107431513935
Chest-Abd,0.0017783061821985767,0.0025530990446474906
Chest-Chin,0.0008295822791620236,0.0011086619917324446
Chest-Leg,0.002153164569244264,0.0040092722836166505
Chest-Eye1,-0.0017375765426272643,-0.001299351579337374
Chest-Eye2,0.0006033249443001821,0.0009811038008318966
Chest-FLd,0.0005914944342455074,0.0009119083171883202
Chest-FLt,0.0011455252509916386,0.0017664794993536629
Chest-FLa,0.00019973920710125698,0.00046448539539369825
Chest-FLs,0.0012307387706267825,0.0024633429643000056
Chest-FLb,0.0008896739385268039,0.0017933914320574893
Chest-C3d,0.0023998077589784768,0.003709610038468847
Chest-C3t,0.0008240076642692972,0.0013695683682509064
Chest-C3a,0.0008778082859679171,0.0016535355557859796
Chest-C3s,0.0004076421072819989,0.0009913998839727151
Chest-C3b,0.00016248231659528063,0.0006149609565222662
Chest-O1d,0.002698515046565042,0.0053049068543470764
Chest-O1t,0.0012501173258478151,0.0021995298603656632
Chest-O1a,0.0008602100361216261,0.0014827286699219569
Chest-O1s,0.001137508879720521,0.0021332283265786513
Chest-O1b,0.0003143627699800928,0.00099270977734329
Chest-FRd,0.0015103428367225454,0.0024459258317187003
Chest-FRt,0.0007099911129019844,0.001287812697581504
Chest-FRa,0.0006424051040454582,0.0010961291581502966
Chest-FRs,-0.00020294691255256088,-0.00013095350194534402
Chest-FRb,-0.0008360857921597337,-0.0009043898425310493
Chest-C4d,0.0016164817998316713,0.002643397283562078
Chest-C4t,0.0011308936851900605,0.0020113628290005414
Chest-C4a,0.0003257371994483564,0.0007642203271776186
Chest-C4s,-0.00019623885103786662,7.392207172498937e-06
Chest-C4b,-0.000482838942183403,-0.0003060294169484598
Chest-O2d,0.0005928288994089396,0.0010236864124482524
Chest-O2t,0.00023764763602814355,0.0005485061509206055
Chest-O2a,0.0005780091389425105,0.0013426946368779434
Chest-O2s,-5.809072765593139e-06,0.0003514316921787536
Chest-O2b,-6.047655417140119e-05,8.100458451001488e-05
Abd-Chin,-0.002512659948764364,-0.0017874538442894578
Abd-Leg,0.002562592249623266,0.004744512937102386
Abd-Eye1,1.4578731140968452e-05,0.00012203237340996647
Abd-Eye2,0.0006325494387902739,0.0007931499930921854
Abd-FLd,-0.001796004681410971,-0.001661865862873229
Abd-FLt,-8.572881515070386e-05,1.0251469110903084e-05
Abd-FLa,0.0020079508120839622,0.004803310704928252
Abd-FLs,0.001054820202204374,0.0017448875948759858
Abd-FLb,-0.00029248549420370643,0.0001831206093088023
Abd-C3d,6.562697868808007e-05,0.00013527512318389133
Abd-C3t,-0.00038852724843196055,-0.0002388779754896206
Abd-C3a,0.001643617943415782,0.0035687475255031685
Abd-C3s,0.0006388883605789053,0.00143496058475061
Abd-C3b,0.0014839706071169442,0.0023389570511445123
Abd-O1d,0.00039624449848924833,0.0007434041847464176
Abd-O1t,0.0014278979567077332,0.0021065170707845818
Abd-O1a,-0.0005066314657253651,-0.00016119388486472453
Abd-O1s,-3.816773682926659e-05,0.00046699944631260325
Abd-O1b,0.0001459413115990485,0.000529437319982057
Abd-FRd,0.00030927382497487817,0.0004673200592847192
Abd-FRt,0.0004592655801824252,0.0008833857115859809
Abd-FRa,0.00010866209703524225,0.000439640636349687
Abd-FRs,0.0015963945403313345,0.0028029221624547252
Abd-FRb,-0.0003209877282958103,-0.0001319958457422323
Abd-C4d,0.0012302204664390122,0.0017338366499922227
Abd-C4t,0.0008926889999405314,0.0013845560633725384
Abd-C4a,0.0007831835408786362,0.0016812263079299544
Abd-C4s,0.0016543339971532094,0.003298815787942945
Abd-C4b,0.001140578081053183,0.0017110821873630292
Abd-O2d,0.00225227156020093,0.003850110592193275
Abd-O2t,0.0003038790611947876,0.0006202005023400354
